Sample copy: identifying values are redacted where present; diagnostic results are retained.

Collection started: 2026-09-09 08:33:42 -0500
Collection ended:   2026-09-09 08:33:45 -0500
Script version:     2.2.0
Source revision:    cee9c63

Probe: Loaded extensions
Result: OK
Exit code: 0
Command: kextstat

Executing: /usr/bin/kmutil showloaded
No variant specified, falling back to release
Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  119    0 0xffffff7f9794e000 0x15000    0x15000    com.apple.driver.AppleCameraInterface (7.9.1) 4E842126-91B3-3A8F-B8EA-7FF1139504AF <96 16 9 8 7 6 3 1>
  120    4 0xffffff7f9938d000 0x4000     0x4000     com.apple.driver.IOPlatformPluginFamily (6.0.0d8) 0A0E6435-614C-35B7-A9BC-1D8D55CDBCEF <15 9 8 7 6 3>
  121    1 0xffffff7f993ba000 0x13000    0x13000    com.apple.driver.X86PlatformPlugin (1.0.0) FF1ECF2C-CF78-3C6C-8640-5B4C69698D6C <120 24 17 15 9 8 7 6 3 1>
  124    1 0xffffff8002f79000 0x2000     0x2000     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) 460871B4-B37D-30D5-AC4D-8CF317ADC147 <9 8 7 6 3 1>
  125    0 0xffffff7f98f1e000 0x1000     0x1000     com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) 78B0F8DB-6E1B-3D5D-9BB3-A7FEAD085891 <124 6 3>
  126    0 0xffffff7f97b1d000 0x7000     0x7000     com.apple.AppleGPUWrangler (6.5.7) 6BFE4A09-0E6C-3B86-8664-846E3D1348AB <114 109 16 9 8 7 6 3 1>
  127    1 0xffffff7f98f7b000 0x7000     0x7000     com.apple.driver.AppleSMBusController (1.0.18d1) 6E137202-3C0E-3A9E-AF51-1663CA808810 <55 16 15 7 6 3>
  128    0 0xffffff7f98f25000 0xb000     0xb000     com.apple.driver.AppleMCCSControl (1.16) 6D7CE4EC-6768-313F-914A-C2D654D62B7F <127 109 17 16 15 9 7 6 3 1>
  130    1 0xffffff7f9793b000 0x2000     0x2000     com.apple.driver.AppleBacklightExpert (1.1.0) 2BD48761-6740-3101-952F-1B79470D0AC8 <118 109 17 16 7 6 3>
  131    0 0xffffff7f97935000 0x3000     0x3000     com.apple.driver.AppleBacklight (180.8) 24573477-8310-330C-9A96-EA66D30A4BD5 <130 118 109 16 7 6 3>
  133    2 0xffffff7f997e8000 0xbf000    0xbf000    com.apple.vecLib.kext (1.2.0) B1FC425C-0B47-3C87-AB35-948E7BCEC216 <12 9 8 7 6 3>
  134    4 0xffffff7f99225000 0x1e000    0x1e000    com.apple.iokit.IOAudioFamily (340.2) 55F5704B-53C0-3A91-9E19-D5BE1A364AB7 <133 7 6 3 1>
  135    2 0xffffff7f97d88000 0x4000     0x4000     com.apple.iokit.IOHDAFamily (340.2) 0E7A2945-90BE-3B47-97D7-C62636FAD110 <7 6 3 1>
